Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00002;Remise à Jorelle;Remise à Jorelle;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Remise à Jorelle;93140;Bondy;93-010;Seine-Saint-Denis;Île-de-France;2.487751;48.893170;0087988709;RJL;b;;;;;48.89317, 2.487751
00760;Souppes - Château-Landon;Souppes - Château-Landon;Oui;Non;AG Ile-de-France;REGION DE PARIS-SUD-EST;;;1;1;Souppes - Château-Landon;77460;Souppes-sur-Loing;77-458;Seine-et-Marne;Île-de-France;2.734971;48.181907;0087684217;SPP;b;;;;;48.181907, 2.734971
00845;Corbeil-Essonnes;Corbeil-Essonnes;Oui;Non;AG Ile-de-France;REGION DE PARIS-SUD-EST;;;1;1;Corbeil-Essonnes;91100;Corbeil-Essonnes;91-174;Essonne;Île-de-France;2.47401;48.61403;0087681007;COE;b;;;;;48.61403, 2.47401
00797;Vernou-sur-Seine;Vernou-sur-Seine;Oui;Non;AG Ile-de-France;REGION DE PARIS-SUD-EST;;;1;1;Vernou-sur-Seine;77670;Vernou-la-Celle-sur-Seine;77-494;Seine-et-Marne;Île-de-France;2.8424649;48.3864547;0087682468;VSS;c;;;;;48.3864547, 2.8424649
00809;Bois-le-Roi;Bois-le-Roi;Oui;Non;AG Ile-de-France;REGION DE PARIS-SUD-EST;;;1;1;Bois-le-Roi;77590;Bois-le-Roi;77-037;Seine-et-Marne;Île-de-France;2.691606;48.475567;0087682203;BJR;b;;;;;48.475567, 2.691606
00815;Boussy-Saint-Antoine;Boussy-Saint-Antoine;Oui;Non;AG Ile-de-France;REGION DE PARIS-SUD-EST;;;1;1;Boussy-Saint-Antoine;91800;Boussy-Saint-Antoine;91-097;Essonne;Île-de-France;2.532726;48.680893;0087682138;BXI;b;;;;;48.680893, 2.532726
00818;Montgeron - Crosne;Montgeron - Crosne;Oui;Non;AG Ile-de-France;REGION DE PARIS-SUD-EST;;;1;1;Montgeron - Crosne;91230;Montgeron;91-421;Essonne;Île-de-France;2.462224;48.708094;0087682104;KRW;b;;;;;48.708094, 2.462224
00826;Essonnes Robinson;Essonnes Robinson;Oui;Non;AG Ile-de-France;REGION DE PARIS-SUD-EST;;;1;1;Essonnes Robinson;91100;Corbeil-Essonnes;91-174;Essonne;Île-de-France;2.463701;48.606095;0087681601;ESO;b;;;;;48.606095, 2.463701
01433;Saint-Michel Notre-Dame;Saint-Michel Notre-Dame;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Saint-Michel Notre-Dame;75005;Paris;75-056;Paris;Île-de-France;2.34545;48.85348;0087547315;SHL;b;;;;;48.85348, 2.34545
01440;Orly Ville;Orly Ville;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Orly Ville;94310;Orly;94-054;Val-de-Marne;Île-de-France;2.402650;48.741815;0087546200;OYI;b;;;;;48.741815, 2.40265
01441;Pont de Rungis Aéroport d'Orly;Pont de Rungis Aéroport d'Orly;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Pont de Rungis Aéroport d'Orly;94150;Thiais;94-073;Val-de-Marne;Île-de-France;2.372792;48.748163;0087546192;PRU;b;;;;;48.748163, 2.372792
01457;Vitry-sur-Seine;Vitry-sur-Seine;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Vitry-sur-Seine;94400;Vitry-sur-Seine;94-081;Val-de-Marne;Île-de-France;2.402229;48.800768;0087545293;VYB;b;;;;;48.800768, 2.402229
01459;Villeneuve-le-Roi;Villeneuve-le-Roi;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Villeneuve-le-Roi;94290;Villeneuve-le-Roi;94-077;Val-de-Marne;Île-de-France;2.426084;48.739908;0087545277;VRI;b;;;;;48.739908, 2.426084
01463;Savigny-sur-Orge;Savigny-sur-Orge;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Savigny-sur-Orge;91600;Savigny-sur-Orge;91-589;Essonne;Île-de-France;2.35173;48.67614;0087545236;SAO;b;;;;;48.67614, 2.35173
01468;Marolles-en-Hurepoix;Marolles-en-Hurepoix;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Marolles-en-Hurepoix;91630;Marolles-en-Hurepoix;91-376;Essonne;Île-de-France;2.290327;48.565345;0087545186;MSX;b;;;;;48.565345, 2.290327
01470;Lardy;Lardy;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Lardy;91510;Lardy;91-330;Essonne;Île-de-France;2.255739;48.520639;0087545160;LYO;b;;;;;48.520639, 2.255739
01477;Avenue du Président Kennedy Maison de Radio France;Avenue du Président Kennedy Maison de Radio France;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Avenue du Président Kennedy Maison de Radio France;75016;Paris;75-056;Paris;Île-de-France;2.279969;48.853322;0087543207;APK;b;;;;;48.853322, 2.279969
